Date,Close/Last,Volume,Open,High,Low
01/20/2016,$68.71,19446730,$68.025,$69.1124,$65.34
01/19/2016,$70.13,17359800,$71.94,$72.31,$69.81
01/15/2016,$69.59,20633510,$68.70,$71.00,$67.541
01/14/2016,$72.25,17703950,$70.29,$72.72,$68.27
01/13/2016,$70.29,12459980,$72.77,$73.239,$70.22
01/12/2016,$72.68,13449620,$71.45,$72.77,$71.00
01/11/2016,$69.92,16924110,$71.29,$71.73,$69.02
01/08/2016,$70.80,20768400,$74.33,$74.66,$70.67
01/07/2016,$72.72,27255620,$73.29,$75.50,$71.54
01/06/2016,$77.33,11560280,$77.12,$78.485,$76.97
01/05/2016,$78.63,14206820,$77.92,$78.68,$77.26
01/04/2016,$76.69,23020490,$78.18,$78.31,$75.18
12/31/2015,$81.27,6743601,$81.48,$82.17,$81.25
12/30/2015,$81.68,6961018,$82.95,$83.11,$81.50
12/29/2015,$83.26,6939916,$82.50,$83.51,$82.41
12/28/2015,$82.14,9295918,$82.56,$82.75,$81.52
12/24/2015,$83.71,3775327,$84.56,$84.80,$83.41
12/23/2015,$84.80,11219580,$85.05,$85.09,$83.72
12/22/2015,$84.84,12762320,$82.89,$85.10,$82.89
12/21/2015,$82.87,8087646,$83.15,$83.73,$82.43
12/18/2015,$82.65,12130480,$83.20,$83.75,$82.03
12/17/2015,$83.56,12972030,$85.00,$85.32,$82.85
12/16/2015,$84.63,16558510,$83.30,$85.05,$82.995
12/15/2015,$82.49,13040100,$81.06,$83.39,$80.90
12/14/2015,$80.57,12060830,$80.15,$80.76,$78.99
12/11/2015,$79.74,20768160,$82.85,$83.05,$79.422
12/10/2015,$84.33,10457010,$83.34,$84.34,$82.85
12/09/2015,$83.42,21904060,$84.37,$85.20,$82.97
12/08/2015,$84.38,14638050,$82.77,$84.67,$82.61
12/07/2015,$84.76,11861220,$84.80,$85.1299,$84.20
12/04/2015,$84.85,15551720,$82.58,$85.00,$82.42
12/03/2015,$82.59,23010410,$85.05,$85.10,$82.10
12/02/2015,$85.00,36584620,$84.27,$85.82,$84.25
12/01/2015,$84.00,26114520,$83.77,$84.39,$83.50
11/30/2015,$84.08,97825550,$81.50,$84.47,$81.38
11/27/2015,$81.38,12600340,$80.57,$81.41,$79.275
